[2022-06-21T11:39:04.980] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T11:46:38.212] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T11:46:38.782] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T11:47:12.413] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T11:47:12.714] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:02:00.471] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T12:02:00.816] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:05:01.061] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T12:05:01.411] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:12:34.829] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T12:12:35.158] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:13:38.442] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T12:13:40.501] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:14:16.288] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T12:14:17.034] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:15:15.570] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T12:15:17.545] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:15:28.366] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T12:15:28.862] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:15:56.570] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T12:15:57.054] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:17:19.389] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T12:17:19.792] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:18:02.757] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T12:18:04.117] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:18:44.142] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T12:18:44.539] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:20:20.563] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T12:20:20.874] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:21:01.498] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T12:21:01.847] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:23:04.582] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T12:23:05.049] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:26:16.961] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T12:26:17.315] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:26:56.009] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T12:26:56.421] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:27:41.665] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
[2022-06-21T12:27:42.006] [INFO] infoFile - { route: '/api/data/product/post', method: '[POST]' }
[2022-06-21T12:30:27.464] [INFO] infoFile - { route: '/api/auth/login', method: '[POST]' }
